customer_id,loan_id,loan_amount,outstanding_balance,interest_rate,loan_term_months,months_on_book,days_past_due,credit_score,monthly_income,debt_to_income_ratio,collateral_value,loan_to_value_ratio,employment_type,loan_type,region,previous_default_flag
CUST001,LN001,500000,420000,12.5,60,18,0,720,85000,0.32,650000,0.65,Salaried,Personal Loan,Bagmati,0
CUST002,LN002,1200000,980000,13.0,84,30,15,690,120000,0.40,1400000,0.70,Salaried,Home Loan,Bagmati,0
CUST003,LN003,300000,260000,15.5,36,12,45,610,55000,0.55,250000,1.04,Self-employed,Personal Loan,Lumbini,0
CUST004,LN004,800000,760000,14.0,72,10,95,580,70000,0.62,600000,1.27,Self-employed,SME Loan,Koshi,1
CUST005,LN005,1500000,1100000,11.5,120,48,0,750,160000,0.28,2200000,0.50,Salaried,Home Loan,Gandaki,0
CUST006,LN006,250000,210000,16.0,24,8,60,590,42000,0.58,180000,1.17,Contract,Personal Loan,Madhesh,0
CUST007,LN007,900000,700000,13.8,60,24,30,640,95000,0.48,900000,0.78,Salaried,Auto Loan,Bagmati,0
CUST008,LN008,2000000,1750000,12.0,180,72,0,780,220000,0.25,3000000,0.58,Salaried,Home Loan,Bagmati,0
CUST009,LN009,600000,560000,14.5,48,14,120,560,60000,0.70,400000,1.40,Self-employed,SME Loan,Sudurpaschim,1
CUST010,LN010,350000,300000,15.0,36,16,10,680,75000,0.36,420000,0.71,Salaried,Personal Loan,Karnali,0
CUST011,LN011,1000000,820000,13.2,84,36,35,630,90000,0.52,950000,0.86,Self-employed,SME Loan,Lumbini,0
CUST012,LN012,450000,390000,15.8,48,20,75,600,50000,0.60,300000,1.30,Contract,Personal Loan,Madhesh,0
CUST013,LN013,1800000,1400000,11.8,144,60,0,760,180000,0.30,2500000,0.56,Salaried,Home Loan,Gandaki,0
CUST014,LN014,700000,650000,14.2,60,12,90,570,65000,0.66,500000,1.30,Self-employed,Auto Loan,Koshi,1
CUST015,LN015,550000,480000,13.5,48,22,5,710,100000,0.34,700000,0.69,Salaried,Auto Loan,Bagmati,0
CUST016,LN016,320000,280000,16.5,36,9,55,605,48000,0.57,240000,1.17,Contract,Personal Loan,Karnali,0
CUST017,LN017,1300000,1000000,12.7,96,40,25,670,130000,0.42,1500000,0.67,Salaried,Home Loan,Lumbini,0
CUST018,LN018,400000,360000,15.2,36,11,100,565,52000,0.68,250000,1.44,Self-employed,Personal Loan,Madhesh,1
CUST019,LN019,950000,780000,13.1,72,28,0,735,115000,0.33,1200000,0.65,Salaried,SME Loan,Bagmati,0
CUST020,LN020,750000,690000,14.8,60,18,40,620,72000,0.54,600000,1.15,Self-employed,Auto Loan,Sudurpaschim,0
CUST021,LN021,2200000,1800000,11.2,180,80,0,790,250000,0.22,3500000,0.51,Salaried,Home Loan,Bagmati,0
CUST022,LN022,500000,470000,15.6,48,13,85,595,58000,0.61,350000,1.34,Contract,Personal Loan,Koshi,0
CUST023,LN023,1600000,1250000,12.4,120,50,20,700,150000,0.38,2000000,0.63,Salaried,Home Loan,Gandaki,0
CUST024,LN024,650000,600000,14.7,60,17,110,550,62000,0.72,420000,1.43,Self-employed,SME Loan,Karnali,1
CUST025,LN025,280000,240000,16.2,24,6,0,690,70000,0.31,350000,0.69,Salaried,Personal Loan,Lumbini,0
CUST026,LN026,850000,790000,13.9,72,19,50,615,80000,0.56,700000,1.13,Self-employed,Auto Loan,Madhesh,0
CUST027,LN027,1100000,900000,12.9,84,34,0,740,140000,0.29,1600000,0.56,Salaried,SME Loan,Bagmati,0
CUST028,LN028,380000,340000,15.9,36,10,65,600,51000,0.59,280000,1.21,Contract,Personal Loan,Koshi,0
CUST029,LN029,1900000,1500000,11.9,144,58,15,725,175000,0.35,2600000,0.58,Salaried,Home Loan,Gandaki,0
CUST030,LN030,720000,680000,14.6,60,16,95,575,68000,0.65,500000,1.36,Self-employed,SME Loan,Sudurpaschim,1
